"Material	Plant	Version	MRP Area	W 24/2025	W 25/2025	W 26/2025	W 27/2025	W 28/2025	W 29/2025	W 30/2025	W 31/2025	W 32/2025	W 33/2025	W 34/2025	W 35/2025	W 36/2025	W 37/2025	W 38/2025	W 39/2025	W 40/2025	W 41/2025	W 42/2025	W 43/2025	W 44/2025	W 45/2025	W 46/2025	W 47/2025	W 48/2025	W 49/2025	W 50/2025	W 51/2025	W 52/2025	W 01/2026	W 02/2026	W 03/2026	W 04/2026	W 05/2026	W 06/2026	W 07/2026	W 08/2026	W 09/2026	W 10/2026	W 11/2026	W 12/2026	W 13/2026	W 14/2026	W 15/2026	W 16/2026	W 17/2026	W 18/2026	W 19/2026	W 20/2026	W 21/2026	W 22/2026	W 23/2026	W 24/2026	W 25/2026	W 26/2026	W 27/2026	W 28/2026	W 29/2026	W 30/2026	W 31/2026	W 32/2026	W 33/2026	W 34/2026	W 35/2026	W 36/2026	W 37/2026	W 38/2026	W 39/2026	W 40/2026	W 41/2026	W 42/2026	W 43/2026	W 44/2026	W 45/2026	W 46/2026	W 47/2026	W 48/2026	W 49/2026																																																				"
"1216132	FWX1	[00]	FWX1_MRP								192.000	0.000																																																																																																																									"
"1216135	FWX1	[00]	FWX1_MRP								756.000	300.000																																																																																																																									"
"1218473	FWX1	[00]	FWX1_MRP	10.000																																																																																																																																	"
"1218795	FWX1	[00]	FWX1_MRP	63.000																																																																																																																																	"
"1219343	FWX1	[00]	FWX1_MRP		5.000																																																																																																																																"
"1220028	FWX1	[00]	FWX1_MRP										62.000																																																																																																																								"
"1220475	FWX1	[00]	FWX1_MRP						628.000	1592.000							2262.000				1396.000	1527.000	1803.000										606.000	625.000	690.000	813.000	901.000	1409.000	627.000	32.000	668.000	668.000	647.000	668.000																																																																																									"
"1224091	FWX1	[00]	FWX1_MRP										24.000						403.000										494.000						910.000																																																																																																		"
"1224763	FWX1	[00]	FWX1_MRP										12.000																																																																																																																								"
"1224917	FWX1	[00]	FWX1_MRP											12.000																																																																																																																							"
