model_name,build_type,skuno,station,serial_number,repair_detail_created_at,repair_code,result,symptom_labels
ASTORIA,GA,1154427,AST SDC Test,FWI2351-12219,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-07717,,,0,rsync-error|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2401-07717,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-07788,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2401-07788,2024-01-23 13:57:29,REPLACE- DIMM,0,error-monitor-procedural-error|read-mce-tolerance-failed|task-failed-with-non-zero-code-return-code
ASTORIA,GA,1154427,AST SDC Test,FWI2401-07788,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09785,,,0,excessive-uncorrectable-core-cpu-errors|no-output-detected|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09785,2024-01-23 16:05:38,REPLACE- DIMM,0,error-monitor-procedural-error|read-mce-tolerance-failed|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09785,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09879,,,0,no-output-detected|pwm_tach test step0 fail !|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09879,2024-02-05 10:59:31,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09879,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09972,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09972,2024-01-22 14:20:50,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09972,2024-01-23 16:03:09,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2401-09972,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2401-10011,,,0,rsync-error|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2401-10011,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,,,0,task-failed-with-non-zero-code-return-code|test-completion-missing-error-sensor_monitor
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,2024-02-20 18:35:45,RESEAT - DIMM,0,excessive-correctable-unclassified-cpu-errors|no-output-detected|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,2024-02-21 11:06:28,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,2024-02-22 09:59:13,RESEAT - CPU,0,excessive-correctable-unclassified-cpu-errors|maxcorestim-bad-cpu-mce|maxcorestim-good-cpu|task-failed-with-non-zero-code-return-code
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,2024-03-07 12:28:53,REPLACE- CPU,0,excessive-correctable-unclassified-cpu-errors
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09682,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09686,,,0,diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-procedural-error|host-boot-timeout|no-output-detected|procedural-error|read-mce-tolerance-failed|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin|test-completion-missing-error-dna|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09686,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09817,,,0,rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09817,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2404-09906,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-amd_cpu_power_virus
