model_name,build_type,skuno,station,total_tests,failed_tests,failure_percentage,x_labels
GULP,GA,1148194-01,GULP test,440,221.0,50.23,GULP_GA_1148194-01
GULP,GA,1163742-01,GULP test,134,67.0,50.0,GULP_GA_1163742-01
GULP,GA,1173158-01,GULP test,10,5.0,50.0,GULP_GA_1173158-01
GULP,GA,1173159-01,GULP test,5,3.0,60.0,GULP_GA_1173159-01
GULP,PROD,1171155-01,GULP test,6,3.0,50.0,GULP_PROD_1171155-01
GULP,PVT,1123888-03,GULP test,8673,4763.0,54.92,GULP_PVT_1123888-03
GULP,PVT,1131563-02,GULP test,7348,4005.0,54.5,GULP_PVT_1131563-02
GULP,PVT,1131563-04,GULP test,1354,737.0,54.43,GULP_PVT_1131563-04
GULP,PVT,1148194-01,GULP test,25,8.0,32.0,GULP_PVT_1148194-01
GULP,PVT,1179912-01,GULP test,84,45.0,53.57,GULP_PVT_1179912-01
GULP,PVT,1190997-01,GULP test,40,21.0,52.5,GULP_PVT_1190997-01
GULP,PVT,1191071-01,GULP test,126,67.0,53.17,GULP_PVT_1191071-01
GULP,PVT,1191073-01,GULP test,111,61.0,54.95,GULP_PVT_1191073-01
GULP,PVT,1200514-01,GULP test,22,12.0,54.55,GULP_PVT_1200514-01
RACKBACK,PROD,1091891,Test Result,66,36.0,54.55,RACKBACK_PROD_1091891
RACKBACK,PROD,1113706,Test Result,2,1.0,50.0,RACKBACK_PROD_1113706
RACKBACK,PROD,1121846,Test Result,49,27.0,55.1,RACKBACK_PROD_1121846
RACKBACK,PROD,1125497,Test Result,31,17.0,54.84,RACKBACK_PROD_1125497
RACKBACK,PROD,1138093,Test Result,2249,1224.0,54.42,RACKBACK_PROD_1138093
RACKBACK,PROD,1141741,Test Result,29655,15935.0,53.73,RACKBACK_PROD_1141741
RACKBACK,PROD,1142913,Test Result,562,296.0,52.67,RACKBACK_PROD_1142913
RACKBACK,PROD,1168666,Test Result,8,3.0,37.5,RACKBACK_PROD_1168666
RACKBACK,PROD,1168677,Test Result,10,3.0,30.0,RACKBACK_PROD_1168677
RACKBACK,PROD,1168685,Test Result,20,8.0,40.0,RACKBACK_PROD_1168685
RACKBACK,PROD,1206508,Test Result,412,217.0,52.67,RACKBACK_PROD_1206508
RACKBACK,PROD,1208326,Test Result,59,31.0,52.54,RACKBACK_PROD_1208326
XENA,GA,1176509,XENA AOI,17,0.0,0.0,XENA_GA_1176509
XENA,GA,1176509,XENA GBMC upgrade Test,85,3.0,3.53,XENA_GA_1176509
XENA,GA,1176509,XENA Run in Test,100,18.0,18.0,XENA_GA_1176509
XENA,GA,1176509,XENA SDC Test,86,4.0,4.65,XENA_GA_1176509
XENA,GA,1176509,XENA functional test,181,96.0,53.04,XENA_GA_1176509
XENA,GA,1176687,XENA GBMC upgrade Test,1689,56.0,3.32,XENA_GA_1176687
XENA,GA,1176687,XENA Run in Test,2291,601.0,26.23,XENA_GA_1176687
XENA,GA,1176687,XENA SDC Test,2136,496.0,23.22,XENA_GA_1176687
XENA,GA,1176687,XENA functional test,3393,1554.0,45.8,XENA_GA_1176687
XENA,GA,1176690,XENA GBMC upgrade Test,849,24.0,2.83,XENA_GA_1176690
XENA,GA,1176690,XENA Run in Test,1184,346.0,29.22,XENA_GA_1176690
XENA,GA,1176690,XENA SDC Test,875,43.0,4.91,XENA_GA_1176690
XENA,GA,1176690,XENA functional test,1642,766.0,46.65,XENA_GA_1176690
XENA,GA,1176984,XENA GBMC upgrade Test,122,5.0,4.1,XENA_GA_1176984
XENA,GA,1176984,XENA Run in Test,196,78.0,39.8,XENA_GA_1176984
XENA,GA,1176984,XENA SDC Test,132,15.0,11.36,XENA_GA_1176984
XENA,GA,1176984,XENA functional test,254,117.0,46.06,XENA_GA_1176984
